address,city,submarket,state,zip_code,property_type,property_class,sale_date,sale_price,price_per_unit,price_per_sf,cap_rate,units,total_sf,lot_size_sf,year_built,year_renovated,num_buildings,num_floors,parking_spaces,noi,gross_potential_rent,occupancy_at_sale,inplace_vs_market_rent_pct,buyer,buyer_type,seller,seller_type,broker,financing_type,ltv,lender,interest_rate,deal_type,special_conditions,data_source,notes
753 Center Drive,Phoenix,Chandler,AZ,21265,hotel,Limited Service,2024-10-24,31048754,277221.0,541.45,7.59,112.0,57344,151211,2020,,1,40,116,,,0.7,,MetLife,Sovereign Wealth Fund,Cushman & Wakefield,REIT,Newmark,financed,0.53,CBRE Capital Markets,7.83,distressed,off-market deal,Real Capital Analytics,Limited Service class hotel in Chandler
4554 Broadway Way,Dallas,Arlington,TX,78749,mixed-use,B,2024-10-23,246688042,1163623.0,856.92,6.75,212.0,287877,628439,1997,2022.0,1,31,780,,,0.91,,LaSalle Investment Management,Investment Fund,Tishman Speyer,Investment Fund,JLL,financed,0.55,Starwood Property Trust,6.17,value-add,off-market deal,Public Records,B class mixed-use in Arlington
8067 Oak Avenue,Los Angeles,Anaheim,CA,84256,multifamily,C,2024-10-23,51455302,218959.0,270.65,4.68,235.0,190115,495813,2008,,5,5,405,,,0.88,,Equity Residential,Private Equity,Duke Realty,Investment Fund,HFF,financed,0.63,Starwood Property Trust,8.38,development,LEED certified,Real Estate Alert,C class multifamily in Anaheim
4123 Broadway Drive,Washington,Georgetown,DC,90076,retail,B,2024-10-23,42008703,,282.32,6.73,,148800,280874,2010,2015.0,1,2,317,,,0.83,,Apollo Global Management,Investment Fund,Newmark,REIT,Newmark,financed,0.55,Principal Financial,6.16,distressed,portfolio acquisition,JLL Research,B class retail in Georgetown
9783 Washington Street,Boston,Newton,MA,69559,retail,A,2024-10-22,17140578,,63.73,7.42,,268944,764812,2002,,1,2,560,,,0.88,,AvalonBay Communities,Insurance Company,Brookfield Asset Management,Family Office,CBRE,bridge loan,,,,distressed,master lease in place,CoStar COMPS,A class retail in Newton
772 Madison Way,New York,Manhattan,NY,62891,multifamily,C,2024-10-22,72104107,203684.0,192.34,5.08,354.0,374886,1100884,2009,,4,9,968,,,0.97,,Hines,Individual Investor,Vornado Realty Trust,Investment Fund,,seller financing,,,,portfolio,,Public Records,C class multifamily in Manhattan
4066 Broadway Way,Riverside,San Bernardino,CA,45731,hotel,Limited Service,2024-10-21,92953876,449053.0,840.92,8.5,207.0,110538,308870,2006,2018.0,1,38,226,,,0.61,,Blackstone,Sovereign Wealth Fund,Eastdil Secured,Insurance Company,,assumption,,,,value-add,portfolio acquisition,JLL Research,Limited Service class hotel in San Bernardino
9956 Broadway Street,Washington,Downtown DC,DC,39287,office,C,2024-10-21,29851801,,97.96,7.72,,304721,842287,1981,,1,18,929,,,0.72,,Bentall GreenOak,Individual Investor,Harrison Street,Family Office,,financed,0.6,Starwood Property Trust,7.31,sale-leaseback,LEED certified,JLL Research,C class office in Downtown DC
8648 Oak Drive,Washington,Bethesda,DC,61976,multifamily,A,2024-10-21,87424245,590704.0,529.3,5.26,148.0,165168,315874,2019,2024.0,2,18,344,,,0.97,,Ares Management,Private Equity,Brookfield Asset Management,Private Equity,CBRE,bridge loan,,,,sale-leaseback,,JLL Research,A class multifamily in Bethesda
2070 Broadway Avenue,Boston,Back Bay,MA,56525,industrial,C,2024-10-19,40484208,,174.23,6.96,,232359,676007,1996,,1,3,671,,,0.97,,Greystar,Developer,MetLife,Insurance Company,,seller financing,,,,distressed,ground lease,CBRE Market Report,C class industrial in Back Bay
1629 Market Way,Boston,Newton,MA,43361,mixed-use,B,2024-10-19,233659176,605335.0,540.63,6.74,386.0,432200,905517,2000,,1,27,1325,,,0.86,,Nuveen Real Estate,Developer,LaSalle Investment Management,Private Equity,Berkadia,assumption,,,,value-add,,Public Records,B class mixed-use in Newton
1876 Market Street,Philadelphia,Wilmington,PA,85185,mixed-use,B,2024-10-19,219435804,1192586.0,1228.21,6.79,184.0,178663,296526,2020,,1,16,395,,,0.87,,Simon Property Group,REIT,Lendlease,Sovereign Wealth Fund,Marcus & Millichap,assumption,,,,value-add,off-market deal,Real Capital Analytics,B class mixed-use in Wilmington
4372 Oak Avenue,San Francisco,Berkeley,CA,90458,industrial,C,2024-10-19,119302106,,454.46,5.81,,262512,410375,1995,,1,1,774,6931452.0,10663772.0,0.87,0.9,Brookfield Asset Management,REIT,Newmark,Sovereign Wealth Fund,Marcus & Millichap,cash,,,,stabilized,1031 exchange,CoStar COMPS,C class industrial in Berkeley
9116 Park Avenue,Seattle,Downtown Seattle,WA,24780,office,C,2024-10-18,144543689,,455.17,6.55,,317562,852704,1983,,1,5,1058,,,0.9,,Kimco Realty,Investment Fund,Related Companies,Developer,Berkadia,assumption,,,,portfolio,off-market deal,CoStar COMPS,C class office in Downtown Seattle
200 Market Boulevard,Dallas,Uptown,TX,69099,multifamily,C,2024-10-17,51308532,264477.0,284.38,4.8,194.0,180420,362085,1989,,4,33,583,,,0.92,,Kimco Realty,REIT,LaSalle Investment Management,REIT,HFF,cash,,,,value-add,,Public Records,C class multifamily in Uptown
172 Oak Avenue,Los Angeles,Anaheim,CA,53892,office,B,2024-10-17,67968874,,1040.79,6.9,,65305,117262,2019,,1,10,177,,,0.81,,Prologis,Private Equity,Equity Residential,Developer,HFF,cash,,,,portfolio,,Public Records,B class office in Anaheim
7638 Center Street,New York,Jersey City,NY,41935,industrial,B,2024-10-17,12799319,,57.98,6.95,,220768,357196,2015,,1,2,450,,,0.87,,Carlyle Group,Family Office,Boston Properties,Investment Fund,Cushman & Wakefield,bridge loan,,,,distressed,off-market deal,Real Estate Alert,B class industrial in Jersey City
7022 Washington Street,Phoenix,Downtown Phoenix,AZ,42650,hotel,Select Service,2024-10-15,105670179,291907.0,498.99,8.85,362.0,211770,633695,1995,,1,35,483,,,0.79,,AvalonBay Communities,Private Equity,Ares Management,Insurance Company,JLL,financed,0.7,JLL Capital Markets,6.0,distressed,master lease in place,CoStar COMPS,Select Service class hotel in Downtown Phoenix
1679 Madison Drive,Boston,Back Bay,MA,87038,hotel,Select Service,2024-10-14,49413052,144061.0,277.04,7.65,343.0,178360,483029,2006,,1,12,499,,,0.73,,PGIM Real Estate,Family Office,Colliers International,Insurance Company,Colliers,cash,,,,value-add,,Public Records,Select Service class hotel in Back Bay
3979 Broadway Boulevard,Chicago,Schaumburg,IL,72906,office,A,2024-10-14,31718929,,88.03,6.87,,360323,687472,2016,,1,7,1026,,,0.94,,Greystar,Investment Fund,Hines,Investment Fund,HFF,assumption,,,,sale-leaseback,,CoStar COMPS,A class office in Schaumburg
8885 Oak Drive,Philadelphia,Camden,PA,27864,hotel,Full Service,2024-10-13,148439880,659733.0,1324.76,8.08,225.0,112050,207605,2016,,1,3,318,,,0.72,,CBRE Investment Management,Insurance Company,Harrison Street,Developer,Newmark,cash,,,,portfolio,,Real Capital Analytics,Full Service class hotel in Camden
2671 Park Drive,Phoenix,Tempe,AZ,34419,mixed-use,B,2024-10-13,269061902,1251451.0,743.69,6.07,215.0,361794,913539,2010,,1,9,909,,,0.95,,Duke Realty,Insurance Company,Blackstone,Private Equity,Berkadia,seller financing,,,,development,,JLL Research,B class mixed-use in Tempe
3516 Park Street,Atlanta,Midtown,GA,91565,office,C,2024-10-12,15858379,,31.76,6.87,,499397,1111832,1993,2009.0,1,14,1328,,,0.82,,Carlyle Group,Investment Fund,Ares Management,Family Office,Newmark,bridge loan,,,,sale-leaseback,portfolio acquisition,CoStar COMPS,C class office in Midtown
7647 Washington Way,Phoenix,Tempe,AZ,34592,hotel,Full Service,2024-10-12,102136520,479514.0,1049.27,7.44,213.0,97341,192683,1991,2006.0,1,31,287,,,0.75,,Kimco Realty,Investment Fund,HFF,Investment Fund,Berkadia,bridge loan,,,,distressed,LEED certified,CBRE Market Report,Full Service class hotel in Tempe
2472 Broadway Way,Seattle,Bellevue,WA,15960,mixed-use,A,2024-10-12,143235712,482275.0,305.26,6.15,297.0,469228,1307624,2020,,1,9,1088,,,0.91,,Bentall GreenOak,Individual Investor,KKR Real Estate,Private Equity,HFF,assumption,,,,value-add,off-market deal,Real Capital Analytics,A class mixed-use in Bellevue
361 Washington Avenue,Boston,Cambridge,MA,48591,office,B,2024-10-11,110217237,,260.57,7.21,,422982,1208214,1985,,1,4,995,,,0.9,,Simon Property Group,Family Office,Ares Management,Individual Investor,,assumption,,,,portfolio,portfolio acquisition,Real Estate Alert,B class office in Cambridge
9698 Washington Street,Los Angeles,Santa Monica,CA,60099,multifamily,B,2024-10-11,84227466,279825.0,305.49,5.44,301.0,275716,737770,2007,2023.0,2,27,723,,,0.91,,AEW Capital Management,Family Office,RXR Realty,Family Office,Cushman & Wakefield,financed,0.52,Barclays,5.68,sale-leaseback,ground lease,Real Estate Alert,B class multifamily in Santa Monica
4783 Madison Street,Philadelphia,Center City,PA,80328,multifamily,A,2024-10-11,32161108,76031.0,82.46,5.08,423.0,390006,1168821,1990,,5,10,967,,,0.86,,Carlyle Group,Pension Fund,Cushman & Wakefield,Pension Fund,Eastdil Secured,seller financing,,,,distressed,ground lease,Real Capital Analytics,A class multifamily in Center City
369 Washington Street,Philadelphia,Camden,PA,26102,industrial,C,2024-10-11,21760181,,28.99,6.71,,750511,2032988,1996,,1,3,2006,,,0.86,,Apollo Global Management,Private Equity,HFF,Developer,,seller financing,,,,sale-leaseback,,CBRE Market Report,C class industrial in Camden
6352 Washington Avenue,Miami,West Palm Beach,FL,94755,hotel,Full Service,2024-10-10,107133969,396792.0,868.25,7.75,270.0,123390,294692,1994,,1,15,251,,,0.78,,SL Green Realty,Private Equity,Ares Management,Sovereign Wealth Fund,Marcus & Millichap,financed,0.53,PGIM,6.69,development,historic building,Real Capital Analytics,Full Service class hotel in West Palm Beach
5235 Market Drive,Boston,Newton,MA,45515,retail,A,2024-10-09,75577160,,506.33,7.63,,149265,358818,2000,,1,3,405,5766537.0,8871595.0,0.96,0.91,AEW Capital Management,Individual Investor,Duke Realty,Investment Fund,CBRE,bridge loan,,,,stabilized,portfolio acquisition,Real Capital Analytics,A class retail in Newton
1560 Broadway Drive,Houston,The Woodlands,TX,23075,multifamily,B,2024-10-09,75359668,168214.0,191.15,4.58,448.0,394240,900692,1986,,4,18,1146,,,0.85,,MetLife,Pension Fund,CBRE,Pension Fund,Marcus & Millichap,cash,,,,value-add,master lease in place,JLL Research,B class multifamily in The Woodlands
5291 Broadway Boulevard,Dallas,Plano,TX,40771,industrial,C,2024-10-08,20618223,,39.32,5.74,,524434,1196445,1994,,1,2,1294,,,0.88,,Related Companies,Developer,LaSalle Investment Management,REIT,Berkadia,assumption,,,,distressed,historic building,CoStar COMPS,C class industrial in Plano
8495 Washington Avenue,Riverside,Ontario,CA,51647,industrial,A,2024-10-08,116389737,,254.85,6.64,,456705,1256745,2014,,1,2,1033,,,0.86,,AvalonBay Communities,Sovereign Wealth Fund,Vornado Realty Trust,Investment Fund,HFF,financed,0.74,Barclays,6.49,portfolio,historic building,CBRE Market Report,A class industrial in Ontario
9814 Oak Drive,Houston,Energy Corridor,TX,94219,multifamily,B,2024-10-07,35429494,380962.0,339.24,4.64,93.0,104439,307826,2013,,4,4,337,,,0.88,,Vornado Realty Trust,Insurance Company,Equity Residential,Pension Fund,Berkadia,assumption,,,,sale-leaseback,ground lease,Real Estate Alert,B class multifamily in Energy Corridor
1279 Center Avenue,Atlanta,Midtown,GA,86221,multifamily,A,2024-10-06,58259460,869544.0,998.33,5.27,67.0,58357,129003,1985,,3,25,127,,,0.92,,Lendlease,Sovereign Wealth Fund,Eastdil Secured,Pension Fund,,cash,,,,value-add,ground lease,JLL Research,A class multifamily in Midtown
204 Madison Avenue,Riverside,San Bernardino,CA,33577,hotel,Full Service,2024-10-06,59838849,174457.0,302.88,8.31,343.0,197568,378640,2007,2021.0,1,30,413,4972608.0,7650166.0,0.77,0.91,LaSalle Investment Management,Individual Investor,Harrison Street,Private Equity,,financed,0.63,Principal Financial,7.18,stabilized,1031 exchange,Real Estate Alert,Full Service class hotel in San Bernardino
6135 Oak Boulevard,Riverside,Moreno Valley,CA,29901,office,A,2024-10-06,187355216,,527.2,6.82,,355378,741356,2008,,1,6,737,,,0.74,,Prologis,Sovereign Wealth Fund,Brookfield Asset Management,Insurance Company,Cushman & Wakefield,seller financing,,,,distressed,ground lease,CBRE Market Report,A class office in Moreno Valley
2231 Washington Boulevard,Washington,Arlington,DC,56631,office,B,2024-10-05,44750219,,127.17,6.32,,351889,964229,1985,,1,21,1005,,,0.83,,KKR Real Estate,Pension Fund,CBRE,Private Equity,Berkadia,cash,,,,development,1031 exchange,Real Capital Analytics,B class office in Arlington
3204 Madison Boulevard,Boston,Cambridge,MA,99014,hotel,Full Service,2024-10-03,126638914,529870.0,1051.33,8.65,239.0,120456,220971,1990,2017.0,1,10,366,10954266.0,16852716.0,0.69,0.93,Related Companies,Investment Fund,Blackstone,Individual Investor,HFF,seller financing,,,,stabilized,,CoStar COMPS,Full Service class hotel in Cambridge
457 Market Avenue,Washington,Bethesda,DC,92313,industrial,A,2024-10-03,113310223,,595.51,6.2,,190275,452443,2009,2021.0,1,1,507,,,0.92,,Bentall GreenOak,Sovereign Wealth Fund,Duke Realty,Insurance Company,Berkadia,seller financing,,,,distressed,historic building,JLL Research,A class industrial in Bethesda
6492 Washington Way,Detroit,Midtown,MI,81229,office,B,2024-10-02,23025617,,298.28,7.33,,77195,136161,1997,,1,24,195,1687777.0,2596580.0,0.92,0.86,Kimco Realty,REIT,Nuveen Real Estate,REIT,Cushman & Wakefield,financed,0.54,Goldman Sachs,7.12,stabilized,,Real Estate Alert,B class office in Midtown
7637 Center Street,Riverside,Corona,CA,94712,multifamily,A,2024-10-02,65053892,252147.0,278.31,5.1,258.0,233748,676047,2000,,4,19,537,,,0.93,,AEW Capital Management,Pension Fund,Eastdil Secured,REIT,,financed,0.52,,6.08,value-add,,Real Capital Analytics,A class multifamily in Corona
331 Oak Boulevard,Phoenix,Mesa,AZ,98819,multifamily,C,2024-10-01,95408582,733912.0,879.99,5.06,130.0,108420,314576,2007,,5,37,233,,,0.88,,Duke Realty,Developer,Greystar,Insurance Company,,bridge loan,,,,development,historic building,Public Records,C class multifamily in Mesa
9646 Market Street,Chicago,Naperville,IL,68697,multifamily,C,2024-09-30,65625517,145834.0,143.82,4.65,450.0,456300,865238,1992,,4,39,1002,,,0.92,,RXR Realty,Developer,Boston Properties,Insurance Company,Eastdil Secured,assumption,,,,portfolio,ground lease,CBRE Market Report,C class multifamily in Naperville
7572 Market Boulevard,Miami,West Palm Beach,FL,37241,mixed-use,A,2024-09-29,224967818,590467.0,793.04,6.8,381.0,283676,849053,2003,2016.0,1,15,588,,,0.87,,Lendlease,Pension Fund,Greystar,Family Office,Eastdil Secured,cash,,,,portfolio,,Real Estate Alert,A class mixed-use in West Palm Beach
4037 Oak Street,Chicago,Naperville,IL,67852,office,B,2024-09-25,17363225,,50.43,6.23,,344301,890349,2021,,1,4,796,1081728.0,1664196.0,0.79,1.03,Lendlease,Investment Fund,Hines,Developer,CBRE,seller financing,,,,stabilized,waterfront property,Real Estate Alert,B class office in Naperville
1579 Center Boulevard,Detroit,Troy,MI,24652,industrial,B,2024-09-25,61158753,,143.31,6.35,,426752,1102544,2022,,1,3,1233,,,0.95,,RXR Realty,Individual Investor,Ares Management,Sovereign Wealth Fund,JLL,financed,0.53,PGIM,8.35,sale-leaseback,off-market deal,Real Capital Analytics,B class industrial in Troy
1855 Main Boulevard,Philadelphia,Wilmington,PA,31413,industrial,A,2024-09-24,92615071,,195.79,6.19,,473024,769664,1990,,1,3,1395,,,0.89,,Bentall GreenOak,Investment Fund,Simon Property Group,Individual Investor,,financed,0.53,,8.09,development,1031 exchange,CBRE Market Report,A class industrial in Wilmington
5011 Madison Street,Los Angeles,Santa Monica,CA,98467,industrial,C,2024-09-23,78412668,,173.21,6.3,,452713,1289394,2022,,1,3,982,,,0.95,,Simon Property Group,Private Equity,Lendlease,Insurance Company,,bridge loan,,,,distressed,,Real Capital Analytics,C class industrial in Santa Monica
4601 Broadway Street,Los Angeles,Anaheim,CA,25111,mixed-use,B,2024-09-23,316161380,2927420.0,2060.14,6.32,108.0,153466,417860,2012,2021.0,1,20,382,19981399.0,30740613.0,0.85,0.94,Ares Management,Pension Fund,Greystar,Insurance Company,Marcus & Millichap,financed,0.63,Deutsche Bank,6.31,stabilized,1031 exchange,Real Capital Analytics,B class mixed-use in Anaheim
3308 Madison Boulevard,Phoenix,Chandler,AZ,54496,office,A,2024-09-23,63051448,,251.69,7.87,,250517,718122,2003,,1,19,585,,,0.95,,Ares Management,REIT,Vornado Realty Trust,Insurance Company,Berkadia,assumption,,,,portfolio,,Real Capital Analytics,A class office in Chandler
3286 Washington Way,San Francisco,Berkeley,CA,89244,multifamily,B,2024-09-23,15907381,63376.0,69.49,4.8,251.0,228912,683448,1987,,2,3,724,,,0.97,,Boston Properties,Pension Fund,Harrison Street,Pension Fund,Colliers,bridge loan,,,,distressed,,CoStar COMPS,B class multifamily in Berkeley
7554 Madison Avenue,Boston,Brookline,MA,60135,mixed-use,B,2024-09-22,348891686,1578695.0,686.76,6.0,221.0,508026,1495912,2010,2017.0,1,27,1391,,,0.96,,KKR Real Estate,Individual Investor,HFF,Individual Investor,Eastdil Secured,cash,,,,value-add,1031 exchange,CoStar COMPS,B class mixed-use in Brookline
7241 Broadway Avenue,San Francisco,San Jose,CA,30134,multifamily,A,2024-09-22,44245026,248568.0,295.91,4.95,178.0,149520,363545,2018,2023.0,5,14,400,,,0.89,,SL Green Realty,Developer,Harrison Street,Family Office,,bridge loan,,,,value-add,historic building,JLL Research,A class multifamily in San Jose
1468 Madison Street,Detroit,Troy,MI,46932,retail,C,2024-09-21,70207423,,242.53,8.3,,289480,837090,2022,,1,3,942,,,0.96,,PGIM Real Estate,Insurance Company,HFF,Family Office,,bridge loan,,,,sale-leaseback,,Real Capital Analytics,C class retail in Troy
9034 Broadway Street,Riverside,Ontario,CA,87517,industrial,A,2024-09-21,57411092,,121.23,5.76,,473564,1081208,1995,,1,3,1086,,,0.96,,Nuveen Real Estate,Private Equity,AvalonBay Communities,REIT,Marcus & Millichap,cash,,,,value-add,portfolio acquisition,CoStar COMPS,A class industrial in Ontario
2639 Broadway Street,Boston,Newton,MA,42738,retail,A,2024-09-20,69396183,,356.27,8.15,,194783,529281,1999,,1,1,642,,,0.84,,Apollo Global Management,Family Office,KKR Real Estate,Individual Investor,,cash,,,,value-add,,Real Estate Alert,A class retail in Newton
290 Park Way,Detroit,Dearborn,MI,67061,retail,A,2024-09-18,78679294,,478.95,7.12,,164274,334027,2013,,1,1,356,,,0.81,,Kimco Realty,Investment Fund,Boston Properties,Developer,Berkadia,cash,,,,value-add,off-market deal,CBRE Market Report,A class retail in Dearborn
3465 Center Avenue,Washington,Bethesda,DC,20339,multifamily,A,2024-09-17,78089422,165795.0,152.53,4.61,471.0,511977,844220,1987,,3,24,1528,,,0.93,,PGIM Real Estate,Sovereign Wealth Fund,RXR Realty,Individual Investor,HFF,seller financing,,,,portfolio,off-market deal,Real Capital Analytics,A class multifamily in Bethesda
6862 Broadway Way,Chicago,River North,IL,45703,industrial,B,2024-09-15,49483304,,95.68,6.18,,517196,1308462,2011,2020.0,1,3,1553,,,0.87,,Greystar,Insurance Company,Hines,Developer,Eastdil Secured,cash,,,,sale-leaseback,ground lease,Public Records,B class industrial in River North
2592 Broadway Avenue,Detroit,Warren,MI,33467,hotel,Full Service,2024-09-14,58020576,456855.0,1136.46,8.71,127.0,51054,86868,2017,,1,23,111,,,0.63,,AEW Capital Management,Investment Fund,Bentall GreenOak,Investment Fund,Cushman & Wakefield,seller financing,,,,distressed,,Real Capital Analytics,Full Service class hotel in Warren
8192 Madison Street,Philadelphia,Center City,PA,55530,mixed-use,B,2024-09-14,191863875,595851.0,606.0,5.9,322.0,316609,630150,2021,,1,27,879,11319968.0,17415335.0,0.86,0.9,Prologis,Private Equity,Harrison Street,REIT,Cushman & Wakefield,seller financing,,,,stabilized,,JLL Research,B class mixed-use in Center City
8542 Park Way,Detroit,Dearborn,MI,77025,mixed-use,A,2024-09-13,309566641,973480.0,530.77,5.99,318.0,583236,1714510,2002,2021.0,1,4,1369,18543041.0,28527755.0,0.86,1.0,Lendlease,Investment Fund,Hines,Sovereign Wealth Fund,Colliers,assumption,,,,stabilized,LEED certified,Public Records,A class mixed-use in Dearborn
8297 Madison Avenue,Washington,Georgetown,DC,16299,mixed-use,A,2024-09-12,232647151,1163236.0,400.77,5.72,200.0,580505,981718,2015,2020.0,1,39,1621,13307417.0,20472949.0,0.88,0.9,Tishman Speyer,Pension Fund,Vornado Realty Trust,Developer,Marcus & Millichap,bridge loan,,,,stabilized,historic building,JLL Research,A class mixed-use in Georgetown
9048 Center Street,Houston,Downtown Houston,TX,16257,industrial,C,2024-09-11,105580470,,169.65,6.25,,622355,1831345,2005,2017.0,1,1,1852,,,0.91,,Brookfield Asset Management,Sovereign Wealth Fund,Colliers International,Individual Investor,JLL,assumption,,,,sale-leaseback,off-market deal,Public Records,C class industrial in Downtown Houston
1039 Oak Way,Miami,Fort Lauderdale,FL,97916,retail,B,2024-09-09,79481912,,363.97,7.67,,218373,537379,1985,2002.0,1,1,688,,,0.92,,Harrison Street,REIT,Newmark,Individual Investor,,assumption,,,,distressed,portfolio acquisition,Real Estate Alert,B class retail in Fort Lauderdale
3468 Oak Way,San Francisco,San Jose,CA,76517,industrial,B,2024-09-09,25125464,,79.88,5.56,,314528,497442,2001,,1,3,878,,,0.96,,PGIM Real Estate,Family Office,Related Companies,REIT,Berkadia,assumption,,,,portfolio,,JLL Research,B class industrial in San Jose
1535 Park Avenue,Washington,Alexandria,DC,54221,mixed-use,B,2024-09-08,390598421,1375347.0,762.73,6.85,284.0,512105,928878,2016,,1,12,1098,26755991.0,41163063.0,0.94,0.91,Blackstone,Private Equity,Vornado Realty Trust,Individual Investor,Marcus & Millichap,cash,,,,stabilized,waterfront property,CoStar COMPS,B class mixed-use in Alexandria
6186 Broadway Boulevard,Washington,Alexandria,DC,34792,multifamily,A,2024-09-08,48868189,440254.0,445.15,4.54,111.0,109779,261761,2021,,1,22,295,2218615.0,3413253.0,0.87,0.93,Duke Realty,Sovereign Wealth Fund,RXR Realty,Individual Investor,Marcus & Millichap,cash,,,,stabilized,,CoStar COMPS,A class multifamily in Alexandria
3373 Center Avenue,Phoenix,Mesa,AZ,27038,mixed-use,A,2024-09-07,148481439,815832.0,380.72,5.85,182.0,390002,728356,2006,,1,31,1080,,,0.95,,Duke Realty,REIT,Equity Residential,Insurance Company,Eastdil Secured,bridge loan,,,,value-add,portfolio acquisition,CoStar COMPS,A class mixed-use in Mesa
5818 Main Avenue,Dallas,Downtown Dallas,TX,41779,hotel,Full Service,2024-09-06,28131541,74030.0,157.18,7.37,380.0,178980,316324,2003,,1,21,392,,,0.61,,Greystar,Developer,CBRE Investment Management,Family Office,Berkadia,financed,0.51,JLL Capital Markets,6.17,development,1031 exchange,Public Records,Full Service class hotel in Downtown Dallas
3428 Broadway Way,Atlanta,Midtown,GA,44137,multifamily,C,2024-09-04,75547360,232453.0,258.57,5.33,325.0,292175,752168,1985,1997.0,1,31,712,,,0.85,,Carlyle Group,Insurance Company,Bentall GreenOak,Individual Investor,Marcus & Millichap,seller financing,,,,value-add,,CBRE Market Report,C class multifamily in Midtown
9127 Park Boulevard,San Francisco,Oakland,CA,34833,multifamily,B,2024-09-04,31997576,68080.0,65.4,4.87,470.0,489270,1076993,2019,,3,21,1451,,,0.97,,PGIM Real Estate,Investment Fund,MetLife,REIT,Berkadia,bridge loan,,,,value-add,,Public Records,B class multifamily in Oakland
9072 Oak Way,Los Angeles,Downtown LA,CA,81394,mixed-use,B,2024-09-02,61931077,167381.0,119.33,7.33,370.0,518976,1308049,2006,,1,40,1221,,,0.86,,Tishman Speyer,Pension Fund,Duke Realty,Investment Fund,Berkadia,bridge loan,,,,development,,Real Capital Analytics,B class mixed-use in Downtown LA
